"well","time","cell.count","uid","drug1","drug1.conc"
"A01",0.8,32,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",5.6,25,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",10.5,31,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",15.3,53,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",20,39,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",24.8,52,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",29.6,49,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",34.4,56,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",39.2,55,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",44,52,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",48.8,48,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",53.5,56,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",58.3,49,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",63.1,47,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",67.9,42,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",72.7,50,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",76.1,41,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",81.3,48,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",86.4,39,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",91.5,47,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",96.6,46,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",101.7,37,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",106.8,48,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",111.9,39,"10ACh-28A_H03","trametinib",3.9875e-06
"A01",117,40,"10ACh-28A_H03","trametinib",3.9875e-06
"A02",1,54,"10ACh-28B_B23","control",0
"A02",5.7,66,"10ACh-28B_B23","control",0
"A02",10.6,78,"10ACh-28B_B23","control",0
"A02",15.4,85,"10ACh-28B_B23","control",0
"A02",20.1,108,"10ACh-28B_B23","control",0
"A02",24.9,168,"10ACh-28B_B23","control",0
"A02",29.7,172,"10ACh-28B_B23","control",0
"A02",34.5,250,"10ACh-28B_B23","control",0
"A02",39.3,276,"10ACh-28B_B23","control",0
"A02",44.1,375,"10ACh-28B_B23","control",0
"A02",48.9,428,"10ACh-28B_B23","control",0
"A02",53.6,503,"10ACh-28B_B23","control",0
"A02",58.4,669,"10ACh-28B_B23","control",0
"A02",63.2,854,"10ACh-28B_B23","control",0
"A02",68,1095,"10ACh-28B_B23","control",0
"A02",72.8,1292,"10ACh-28B_B23","control",0
